x,y,z,dx,dy,dz
-30.0,-30.0,-30.0,74493.42583661721,4147.842258604314,57500.26648902296
-30.0,-28.0,-30.0,86270.11748150582,21626.006771552344,74779.91810148423
-30.0,-26.0,-30.0,87140.93539591374,13326.728350311772,63726.66303799948
-30.0,-24.0,-30.0,96544.50027709694,11972.997468053332,68659.6747129548
-30.0,-22.0,-30.0,102302.82667579553,30985.794338436826,78097.04768455685
-30.0,-20.0,-30.0,112006.6751984879,34160.20744513605,87978.77374978825
-30.0,-18.0,-30.0,103125.2912565952,55071.838685031915,78843.66180550445
-30.0,-16.0,-30.0,117950.32197258239,81949.88034852034,82192.7458548278
-30.0,-14.0,-30.0,117973.03746519888,73090.75215832508,90241.80708351603
-30.0,-12.0,-30.0,115406.55385378095,101608.22581219155,77293.50828671783
-30.0,-10.0,-30.0,141247.24290291363,126751.95638351663,102981.8322335853
-30.0,-8.0,-30.0,137244.87166376336,111271.94281710238,98474.33809475726
-30.0,-6.0,-30.0,144607.02002557972,103518.76284168007,81919.67795009552
-30.0,-4.0,-30.0,138776.4242984348,119070.25392562403,93961.43784237282
-30.0,-2.0,-30.0,179471.19144365756,98228.98448096392,114458.17889745855
-30.0,0.0,-30.0,181291.02708524626,64399.57528964669,102434.51975977418
-30.0,2.0,-30.0,173268.26474058168,79824.93518213279,100063.5289937455
-30.0,4.0,-30.0,218961.6863269258,80753.3266768952,108391.70193698282
-30.0,6.0,-30.0,226470.02843338312,58205.962150248546,104647.9066241215
-30.0,8.0,-30.0,232930.11125309757,50341.704904358376,105584.09622866586
-30.0,10.0,-30.0,246943.06157455113,25827.716190288895,115660.74298476642
-30.0,12.0,-30.0,239690.02202036322,27331.39607522431,109116.6502217377
-30.0,14.0,-30.0,310205.68724815303,30519.56794122362,127463.11055530563
-30.0,16.0,-30.0,296563.0349572088,5072.540988064051,121031.56862512733
-30.0,18.0,-30.0,289984.9130651327,25736.411135130147,103751.37926199925
-30.0,20.0,-30.0,326083.92952059844,33293.75470577028,112167.81963435313
-30.0,22.0,-30.0,315114.18688166456,36460.62890748723,100721.10721771479
-30.0,24.0,-30.0,326694.04850541847,55739.705305556075,95766.1092055292
-30.0,26.0,-30.0,348746.2681156,74370.92882599561,83271.74838113427
-30.0,28.0,-30.0,355643.5051880316,98033.55938659767,87800.95688627333
-30.0,30.0,-30.0,381234.80783617694,875130.8994353348,93601.81561342327
-28.0,-30.0,-30.0,123237.19297228979,942281.1735789021,63348.755803941654
-28.0,-28.0,-30.0,150426.89003753688,34168.730309872546,69861.3447841892
-28.0,-26.0,-30.0,139598.20877041135,23533.434316695948,72087.57177163572
-28.0,-24.0,-30.0,166595.85026773147,3607.7046391227163,68106.26994241872
-28.0,-22.0,-30.0,167971.90439997468,15549.201692583589,75319.75438081201
-28.0,-20.0,-30.0,190814.21655685868,33322.372092232436,80462.23666095437
-28.0,-18.0,-30.0,184150.71288778886,49123.17722863638,71888.46256468086
-28.0,-16.0,-30.0,206880.7526964756,67100.85035842177,73025.62910723165
-28.0,-14.0,-30.0,213147.02930583115,75626.85201104627,85069.63099266289
-28.0,-12.0,-30.0,223110.52509433255,78330.76356061913,74438.4979081422
-28.0,-10.0,-30.0,253616.9474639387,104915.50839744063,75148.72244764278
-28.0,-8.0,-30.0,264573.73026190914,107903.53613916514,98784.64470998294
-28.0,-6.0,-30.0,267142.3074651742,101976.40232941443,91808.46447579512
-28.0,-4.0,-30.0,282442.8370569175,84209.03391401008,104428.0269575319
-28.0,-2.0,-30.0,316058.824882686,55732.54854514196,99002.06980777482
-28.0,0.0,-30.0,317324.86206933315,70630.32781913734,82807.03551052202
-28.0,2.0,-30.0,334519.69855838426,42697.91276066178,103145.80326703681
-28.0,4.0,-30.0,367531.2709168197,27784.632535254532,81877.10378749232
-28.0,6.0,-30.0,381005.4308821096,44200.14354204534,104792.65060226932
-28.0,8.0,-30.0,431463.8924393234,29863.710018484457,110048.88820449884
-28.0,10.0,-30.0,468344.7118983946,19128.189931387027,106792.37996447182
-28.0,12.0,-30.0,495211.98751439835,36043.97786533099,124691.27019364989
-28.0,14.0,-30.0,521341.65043519804,26503.86089784926,86346.87060752357
-28.0,16.0,-30.0,536318.9543550208,24783.39731702683,102221.96615039436
-28.0,18.0,-30.0,559018.0040659935,4544.328193395087,114625.2113976532
-28.0,20.0,-30.0,590588.1589070655,8407.111861830244,98154.022199188
-28.0,22.0,-30.0,614737.7015586708,35857.36775769218,99860.7565156085
-28.0,24.0,-30.0,628537.7026685937,22150.635933675123,110397.05775529398
-28.0,26.0,-30.0,637499.7275358012,45431.58418677879,65301.02021890222
-28.0,28.0,-30.0,659935.8889658848,65504.90912848197,83261.65302831777
-28.0,30.0,-30.0,692072.775280211,568183.9272552553,77199.99004233383
-26.0,-30.0,-30.0,70144.83555648505,625184.920316452,56823.60549932596
-26.0,-28.0,-30.0,78354.27219195328,37876.28641346381,55366.603329726306
-26.0,-26.0,-30.0,86011.92305730944,29387.068030445855,69431.24504830642
-26.0,-24.0,-30.0,104638.54154433862,16541.680112587703,61021.42242468965
-26.0,-22.0,-30.0,109923.25966769372,6873.631111066127,77928.42081971793
-26.0,-20.0,-30.0,130055.34137611832,18008.853912739585,66386.24375167003
-26.0,-18.0,-30.0,139556.69953690673,39038.60284870031,79414.73838793351
-26.0,-16.0,-30.0,146969.16243885562,52974.2607058318,78216.10516223063
-26.0,-14.0,-30.0,162413.44227827285,56865.645589365806,91009.28063512058
-26.0,-12.0,-30.0,167647.05046140146,61140.5563339058,82827.82933223409
-26.0,-10.0,-30.0,185216.75904305786,85294.20349935451,76578.77662807038
-26.0,-8.0,-30.0,207375.29740643338,97739.02168442337,84745.79839272791
-26.0,-6.0,-30.0,211653.48099703595,85637.32425602402,88023.59311480496
-26.0,-4.0,-30.0,239277.36190484275,70136.90611836966,97987.18998051053
-26.0,-2.0,-30.0,235920.20724050485,63305.67165907807,88358.09809344134
-26.0,0.0,-30.0,252471.92241104695,45957.62565716723,94474.87023981646
-26.0,2.0,-30.0,277690.28881555446,30045.57627972795,91960.5521086692
-26.0,4.0,-30.0,278825.0774672774,34888.70012767198,99111.79221101002
-26.0,6.0,-30.0,319492.8313709973,9848.10647900734,117061.55661565757
-26.0,8.0,-30.0,334697.8160897694,37265.43331886331,85807.33977087973
-26.0,10.0,-30.0,390477.02990239026,38013.5239410376,84572.34522694009
-26.0,12.0,-30.0,428252.5412967653,25865.29279777951,84702.02564834249
-26.0,14.0,-30.0,414960.0353050911,11118.253602524657,103098.98336819971
-26.0,16.0,-30.0,446679.497770912,33432.96886295587,112055.52856865643
-26.0,18.0,-30.0,476748.39643039607,28740.66540967895,96482.68916976693
-26.0,20.0,-30.0,491842.939342936,22632.57222535225,86832.6418105825
-26.0,22.0,-30.0,522377.0240024572,3214.161463778878,69999.37874654274
-26.0,24.0,-30.0,539185.9124672853,33051.2658015767,80704.78851039032
-26.0,26.0,-30.0,536504.6862512864,42996.30236572559,90655.78227820512
-26.0,28.0,-30.0,580777.4134381494,43424.40334352334,79701.98129138068
-26.0,30.0,-30.0,583442.4238028142,285151.53640290233,76932.21375643546
-24.0,-30.0,-30.0,8689.338056808441,328396.6311744578,50408.20336202893
-24.0,-28.0,-30.0,19444.589291513053,50029.947840437446,63109.70600568959
-24.0,-26.0,-30.0,35884.56428702078,49779.87388690253,74824.56769085061
-24.0,-24.0,-30.0,47077.431009027525,27228.97711087024,63152.43912317195
-24.0,-22.0,-30.0,49095.562645733415,10304.750626183439,69096.93485343919
-24.0,-20.0,-30.0,70687.31929389124,4559.4343507268495,62865.76737427501
-24.0,-18.0,-30.0,84582.28263987266,32223.334784269056,80598.0393906107
-24.0,-16.0,-30.0,94759.26882903044,44246.58005469651,85793.93177225004
-24.0,-14.0,-30.0,94701.4036097097,54945.851617375636,88472.89760009995
-24.0,-12.0,-30.0,105427.52004237128,55558.191813961545,88973.46276801432
-24.0,-10.0,-30.0,118586.775473484,65226.343155210685,80180.3543980017
-24.0,-8.0,-30.0,137818.20399625527,81496.52370967122,90948.60438921592
-24.0,-6.0,-30.0,147906.4540468857,70081.94077488173,83690.5731994288
-24.0,-4.0,-30.0,162281.34736321273,59917.71163155442,81439.8170182829
-24.0,-2.0,-30.0,171924.32040883016,42454.06656763756,94220.20756875913
-24.0,0.0,-30.0,194596.62880267174,28843.6700416419,95549.5053402055
-24.0,2.0,-30.0,199165.74057401926,16412.60136296815,91518.65570160598
-24.0,4.0,-30.0,244265.32137550644,15512.379319533014,75361.1857729576
-24.0,6.0,-30.0,254061.90638755076,13710.445801536851,94067.01701023117
-24.0,8.0,-30.0,268852.7163291065,42007.681060518225,103507.22838588008
-24.0,10.0,-30.0,291551.2297107987,74901.64543622013,75319.08954222314
-24.0,12.0,-30.0,310720.9514899067,60514.2836745983,82228.8936279495
-24.0,14.0,-30.0,347059.3628507733,44923.451214109606,77122.33303744442
-24.0,16.0,-30.0,383442.2370387778,37380.835037927216,83036.02924283232
-24.0,18.0,-30.0,394002.3209197452,49140.983858856314,86470.79850912304
-24.0,20.0,-30.0,406806.47020804486,37622.62974023744,76562.55834332418
-24.0,22.0,-30.0,416255.48165803205,11967.661038404234,71462.44342813092
-24.0,24.0,-30.0,436030.08861464506,8432.382259575626,64093.10033713771
-24.0,26.0,-30.0,465026.8570661448,4864.857868466118,79999.42273831044
-24.0,28.0,-30.0,480973.6812029701,18712.39844714727,57657.40315558492
-24.0,30.0,-30.0,499224.31569336454,7771.86257315178,50410.429018252245
-22.0,-30.0,-30.0,75207.72957629802,59933.50567260714,45027.77285045898
-22.0,-28.0,-30.0,42215.61061863487,67118.18187157197,51197.25449901953
-22.0,-26.0,-30.0,25527.40581522655,57777.954883055354,65223.19440883365
-22.0,-24.0,-30.0,18615.255616611536,29871.189105946014,46580.42593046437
-22.0,-22.0,-30.0,9626.908659148923,17340.51795276288,80369.59515682553
-22.0,-20.0,-30.0,10067.761271447494,18055.425774723368,54567.15043163388
-22.0,-18.0,-30.0,27932.213907015604,15082.237133796338,65403.790722827616
-22.0,-16.0,-30.0,28755.899187056497,42827.58731845331,78668.88037354802
-22.0,-14.0,-30.0,46583.319188271606,46158.86948594228,100320.5027728038
-22.0,-12.0,-30.0,60051.89037258946,37230.28252741359,92512.9754000802
-22.0,-10.0,-30.0,67680.52684075374,52886.25517278886,87064.87948413199
-22.0,-8.0,-30.0,74224.91587202407,68411.15164854786,92492.01938234706
-22.0,-6.0,-30.0,99299.43896010013,61189.545321505815,94905.27792528167
-22.0,-4.0,-30.0,100104.24769710338,46135.31285675666,84910.57475772177
-22.0,-2.0,-30.0,126434.81420226768,30950.563296665878,98311.22947154877
-22.0,0.0,-30.0,128413.9160041431,18594.046203209808,91449.83219626514
-22.0,2.0,-30.0,152451.5753390511,20246.835065972027,98470.96309264432
-22.0,4.0,-30.0,178590.78339686577,21200.0779540804,64984.16353597826
-22.0,6.0,-30.0,183654.7929766216,30875.326233416297,97731.18807564133
-22.0,8.0,-30.0,232589.01082243348,74956.87295606756,91031.41139971605
-22.0,10.0,-30.0,215763.82185892298,80417.25109468157,74910.26568918477
-22.0,12.0,-30.0,244524.87922651268,81732.9508747575,87011.2457744007
-22.0,14.0,-30.0,264577.97580910614,83617.87584820266,81798.19072214943
-22.0,16.0,-30.0,300316.7983203134,80161.67563711366,68931.99945336186
-22.0,18.0,-30.0,320862.60953248903,52151.46799642467,71052.2987759573
-22.0,20.0,-30.0,333196.8332742426,44940.13641306115,84917.88098555779
-22.0,22.0,-30.0,344049.8607729429,30959.373363953786,67473.61842805055
-22.0,24.0,-30.0,365812.50261489453,16243.647081294956,70838.00023966515
-22.0,26.0,-30.0,387463.796593132,4085.7749961436407,51077.76472097623
-22.0,28.0,-30.0,389791.38780792785,9822.453416426384,58447.073092914485
-22.0,30.0,-30.0,402282.97987359273,270831.87716448616,43413.74766285852
-20.0,-30.0,-30.0,121015.8415837683,212538.77913049018,67061.68427373713
-20.0,-28.0,-30.0,116420.5490332297,100717.76378244457,64685.698778596496
-20.0,-26.0,-30.0,92749.82434405677,74963.29042433701,53708.35231099011
-20.0,-24.0,-30.0,97781.65809530483,46823.04850750081,54543.06011486002
-20.0,-22.0,-30.0,66714.5170903298,21741.822660321348,63875.812887783984
-20.0,-20.0,-30.0,60631.33105082506,27702.594301767094,76009.04353907466
-20.0,-18.0,-30.0,56446.41141184673,3022.9230676979205,57223.30790643638
