x,y,z,dx,dy,dz
-30.0,-30.0,-30.0,124964.87923858003,68443.32255623177,46949.6043738484
-30.0,-28.0,-30.0,141196.7189104205,145180.97047533965,46298.42175198116
-30.0,-26.0,-30.0,153958.51240680547,149029.55579895005,48543.92878972917
-30.0,-24.0,-30.0,173611.50940643958,152471.2864180153,56206.167028047916
-30.0,-22.0,-30.0,195015.42725117333,166176.60364167148,57695.17326245153
-30.0,-20.0,-30.0,209041.94011274594,171087.18458529102,61610.496138809285
-30.0,-18.0,-30.0,232313.28476374282,169236.50859669995,63409.94544121798
-30.0,-16.0,-30.0,249997.90408439745,161993.88311626142,65682.15440235863
-30.0,-14.0,-30.0,263276.9769642413,148918.22333302198,71622.97226440831
-30.0,-12.0,-30.0,291028.03929200314,136990.6219668573,66580.46836208015
-30.0,-10.0,-30.0,311057.6215721852,124462.9917040303,70101.8287171506
-30.0,-8.0,-30.0,322025.7454824173,124083.80479584703,72181.70622722757
-30.0,-6.0,-30.0,330145.0331305149,110235.54029759615,62430.40317740534
-30.0,-4.0,-30.0,349108.2029306806,88448.23457798357,63620.535955951316
-30.0,-2.0,-30.0,368981.50474186987,94397.2196062339,64553.140680047494
-30.0,0.0,-30.0,378938.53749261633,50753.689890916445,64879.44095299553
-30.0,2.0,-30.0,380266.1444056784,25048.249039815448,62540.37108624889
-30.0,4.0,-30.0,358193.26170393056,67311.73336565532,55983.140377112206
-30.0,6.0,-30.0,343651.3342795286,83594.31524139842,53739.565145436216
-30.0,8.0,-30.0,316548.2004021771,102779.75738558752,44031.27124725085
-30.0,10.0,-30.0,297785.92942814616,112556.19205738325,41909.597735198644
-30.0,12.0,-30.0,270313.822613612,103798.8205051346,42169.222333873906
-30.0,14.0,-30.0,253436.52693235126,111466.92076372144,37800.67078583853
-30.0,16.0,-30.0,223240.21014100406,123760.92541523975,38037.44919789977
-30.0,18.0,-30.0,203105.860689714,127150.82223224959,39819.64449838167
-30.0,20.0,-30.0,179403.25826681775,114971.15074060627,33871.74209842284
-30.0,22.0,-30.0,154300.7201279933,103339.10448763367,29449.276437689176
-30.0,24.0,-30.0,134258.53094451092,88667.2271413135,33116.22017911914
-30.0,26.0,-30.0,109415.44730160333,79161.78744490175,28726.97694086096
-30.0,28.0,-30.0,95764.10751602538,71096.3568730137,25720.26005467378
-30.0,30.0,-30.0,88413.16055382199,263802.1865143222,24905.882767726045
-28.0,-30.0,-30.0,266079.21419850574,149041.5231357986,50370.76866696283
-28.0,-28.0,-30.0,298144.4273591915,174174.81002437172,48538.046816478156
-28.0,-26.0,-30.0,325599.2486659421,181439.7182880152,54060.7654041493
-28.0,-24.0,-30.0,355925.28292438074,193518.98578338453,60256.39172465162
-28.0,-22.0,-30.0,384692.96280561364,201592.4559605937,57851.154449452275
-28.0,-20.0,-30.0,422125.1243945276,208380.84158344188,66732.83892921597
-28.0,-18.0,-30.0,467278.49938309676,210192.38806442378,67740.54756138989
-28.0,-16.0,-30.0,524845.6253413701,192957.67993279418,72892.44923274039
-28.0,-14.0,-30.0,579539.5585976301,189953.99574979936,76921.35887153498
