x,y,z,dx,dy,dz
-30.0,-30.0,-30.0,1396451.5258665767,1706379.9715866009,556076.8591936507
-30.0,-28.0,-30.0,1252553.378994033,2927889.699816606,338502.25662029884
-30.0,-26.0,-30.0,1700353.8140196616,2361806.9718784965,450216.93492685305
-30.0,-24.0,-30.0,1852062.890473142,2184552.9582658177,575537.6216841629
-30.0,-22.0,-30.0,2290921.5046804682,3176554.7044311296,118827.61310138981
-30.0,-20.0,-30.0,935968.022765201,3643222.9409280424,1116720.167682068
-30.0,-18.0,-30.0,1246277.9230333022,2560598.8551068823,205324.48161517602
-30.0,-16.0,-30.0,1640065.4613936755,1832297.8411289316,298414.27773990104
-30.0,-14.0,-30.0,2507022.0767082227,2172778.5633298475,199408.27997192505
-30.0,-12.0,-30.0,2050017.837503257,2577244.583201797,171234.3868826176
-30.0,-10.0,-30.0,1795016.7122166024,1130811.3736589153,462544.4836865615
-30.0,-8.0,-30.0,2251071.90403303,885122.3320320367,872850.4684002192
-30.0,-6.0,-30.0,2615039.4706690186,2661398.809429207,513127.32163598196
-30.0,-4.0,-30.0,1620016.2976016046,3064875.634772358,189024.68798898248
-30.0,-2.0,-30.0,2185062.94405658,1847054.3495049896,1062825.0847419957
-30.0,0.0,-30.0,3057026.126312988,1517697.4610912034,127865.07653397215
-30.0,2.0,-30.0,3137140.2627685126,1605247.9036871167,192487.04343380252
-30.0,4.0,-30.0,3211412.1834528,2256021.8440381116,495435.7711476397
-30.0,6.0,-30.0,2870336.9316531327,439646.18669532693,2131366.1129416614
-30.0,8.0,-30.0,3105205.102275996,1819342.288771726,269018.1247759372
-30.0,10.0,-30.0,3350043.7473589983,286211.1762112426,397157.22899011965
-30.0,12.0,-30.0,2656073.3563247393,860317.4782176352,446201.5287052686
-30.0,14.0,-30.0,2704076.3975312724,2815396.0465619243,157133.95638499345
-30.0,16.0,-30.0,2457163.558551219,3899064.5649131974,723209.1337254355
-30.0,18.0,-30.0,2509412.459666982,4491141.462480313,304803.18701552035
-30.0,20.0,-30.0,2923088.810694401,4037425.6292301985,662390.2833633211
-30.0,22.0,-30.0,2748325.828633665,4019397.7194359424,178568.37374355653
-30.0,24.0,-30.0,2600529.492546901,4356830.142130062,46382.62830212606
-30.0,26.0,-30.0,3092712.2440858968,4112062.2567675887,554861.6100701623
-30.0,28.0,-30.0,2239944.351432867,2743107.885625967,257518.02919844486
-30.0,30.0,-30.0,2112582.8679054496,2559862.0658918456,418010.7546331821
-28.0,-30.0,-30.0,1816164.0776737337,214029.9528763148,1074561.375023192
-28.0,-28.0,-30.0,2158447.6342123873,3231515.385307183,949300.9569779154
