x,y,z,dx,dy,dz
-30.0,-30.0,-30.0,808516.31915203,67834.16461663,21020.17791597037
-30.0,-28.0,-30.0,848541.1234168268,124545.92807650473,4961.657839413435
-30.0,-26.0,-30.0,878742.4654492863,86210.10649554514,21133.79945703674
-30.0,-24.0,-30.0,906491.7340284135,51368.83063572933,1352.0808962030674
-30.0,-22.0,-30.0,931077.7427372412,62313.85707606676,9507.023914258929
-30.0,-20.0,-30.0,913269.6231054217,53517.732299859184,23671.759527104914
-30.0,-18.0,-30.0,942383.0544279339,39748.66255571772,1959.5141744453465
-30.0,-16.0,-30.0,939981.6168946458,37197.26738376743,8530.941363637938
-30.0,-14.0,-30.0,950918.9356386666,28002.549673638998,4786.159787812685
-30.0,-12.0,-30.0,931544.4598871277,22863.822859953423,13243.351056696803
-30.0,-10.0,-30.0,962898.1133185349,11615.822378341312,8776.052244637485
-30.0,-8.0,-30.0,950594.2135799343,24254.999109380977,3622.7386117837773
-30.0,-6.0,-30.0,965574.7961520887,40658.14215744953,8979.236420854713
-30.0,-4.0,-30.0,985140.3243759462,45223.50716147196,5732.3284454965515
-30.0,-2.0,-30.0,974966.6063642176,46723.172394182875,3192.8656392879784
-30.0,0.0,-30.0,985082.7897451133,71127.42323750824,4510.343612334665
-30.0,2.0,-30.0,976479.1154656899,99606.89768877244,9584.056231416564
-30.0,4.0,-30.0,945581.9095539493,121777.53980489785,20143.560963797314
-30.0,6.0,-30.0,916910.5163350368,140917.95381017055,8715.056130180976
-30.0,8.0,-30.0,902853.0689088259,169478.6424363955,6130.9641290583395
-30.0,10.0,-30.0,889337.1793872929,172936.66954444005,22180.111829659687
-30.0,12.0,-30.0,870932.6837114523,170576.65264857776,3755.7619348291096
-30.0,14.0,-30.0,846344.2325708778,197961.89533436776,6460.363141007321
-30.0,16.0,-30.0,835979.4491937868,193914.36600155136,24960.87684352896
-30.0,18.0,-30.0,805498.5678919024,196375.9609202882,12983.9230358497
-30.0,20.0,-30.0,783779.0599237671,215272.50321493516,20810.866339915796
-30.0,22.0,-30.0,751130.8276733622,207340.93085813033,17639.10012083485
-30.0,24.0,-30.0,757708.1196426495,195206.2193615842,22655.700063006174
-30.0,26.0,-30.0,714932.8049103902,215010.76133772312,15024.927495570091
-30.0,28.0,-30.0,718843.502233293,237215.4115431674,35132.25178610847
-30.0,30.0,-30.0,717283.7566535162,1853557.2983301675,37356.753544087245
-28.0,-30.0,-30.0,1819649.0211992555,2070932.6112289089,11232.45941074189
-28.0,-28.0,-30.0,1861492.6146555264,194786.58422540917,5992.406306456298
-28.0,-26.0,-30.0,1918362.5018522225,144156.2708744205,10629.518305228858
-28.0,-24.0,-30.0,1995062.988570468,103665.61053924583,5639.390590982912
-28.0,-22.0,-30.0,2037438.06665372,69060.35513333231,24173.15255083108
-28.0,-20.0,-30.0,2049338.5185211012,64786.86501103122,4238.553704266837
-28.0,-18.0,-30.0,2074416.0308002003,66429.10950525585,5495.174736702642
-28.0,-16.0,-30.0,2079228.7669937985,45750.247450291514,4015.253297123998
-28.0,-14.0,-30.0,2111534.2976403176,19600.37414076039,5256.740164558896
-28.0,-12.0,-30.0,2105999.78748303,34843.63456185979,4156.5483678264845
-28.0,-10.0,-30.0,2114622.800459539,7448.902699821602,33029.47866915976
-28.0,-8.0,-30.0,2143013.50120218,21570.010628670647,14102.737623681422
-28.0,-6.0,-30.0,2166556.4112846004,6113.028289954345,8210.202455070552
-28.0,-4.0,-30.0,2162027.7926222486,35832.527448762856,14694.597701847939
-28.0,-2.0,-30.0,2140345.454110104,46820.82252387183,8462.465738694063
-28.0,0.0,-30.0,2136972.197118476,69763.74425599555,11659.631828399015
-28.0,2.0,-30.0,2123151.7816903414,139237.95327557542,5221.912605539702
-28.0,4.0,-30.0,2086105.9999454012,181425.23118269595,7429.487321246659
-28.0,6.0,-30.0,2006852.3874515702,183709.1755077503,11994.391721984477
-28.0,8.0,-30.0,1974344.9349899555,197090.6816697946,10191.671811898943
-28.0,10.0,-30.0,1933517.3504446235,204876.2741548846,4568.329384810672
-28.0,12.0,-30.0,1892975.504526719,213567.90736351372,6007.816351432119
-28.0,14.0,-30.0,1855642.3067646092,232912.13148405857,7250.970053555386
-28.0,16.0,-30.0,1829596.743802471,234756.14206413814,23893.074538093562
-28.0,18.0,-30.0,1775859.8423801153,248573.91188369732,14171.362551167198
-28.0,20.0,-30.0,1729050.0842077886,269640.44764481735,35511.0317327624
-28.0,22.0,-30.0,1682011.5594683883,233399.85397592455,38344.304606734586
-28.0,24.0,-30.0,1640591.5302181377,231383.79892036767,18111.437351581433
-28.0,26.0,-30.0,1580734.3478133776,253861.64371400556,41855.28376616178
-28.0,28.0,-30.0,1557601.7800634583,234864.23829494856,22968.826636839152
-28.0,30.0,-30.0,1553586.1578885238,2145900.989629722,31072.973432552084
